City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
185,Benguela,AO,2022-01-30 22:51:51,-12.5763,13.4055,76.68,80,100,4.43,overcast clouds,0,0
186,Baiyin,CN,2022-01-30 22:56:07,36.5583,104.2081,4.08,49,20,2.17,few clouds,0,0
187,Avarua,CK,2022-01-30 22:56:07,-21.2078,-159.775,71.65,94,75,6.91,heavy intensity rain,0,0
188,Fortuna,US,2022-01-30 22:54:35,40.5982,-124.1573,60.19,77,20,1.99,few clouds,0,0
189,Ketchikan,US,2022-01-30 22:54:27,55.3422,-131.6461,35.58,80,86,4.7,overcast clouds,0,0
190,Boulsa,BF,2022-01-30 22:56:09,12.6675,-0.5758,73.54,13,30,11.01,scattered clouds,0,0
191,Manacor,ES,2022-01-30 22:56:10,39.5696,3.2096,52.83,74,0,8.1,clear sky,0,0
192,Upernavik,GL,2022-01-30 22:56:10,72.7868,-56.1549,-3.35,94,100,4.0,overcast clouds,0,0
193,Narsaq,GL,2022-01-30 22:56:11,60.9167,-46.05,19.47,77,100,21.39,light snow,0,0
194,Saint-Pierre,RE,2022-01-30 22:56:11,-21.3393,55.4781,76.68,73,9,11.5,clear sky,0,0
195,Mae Sai,TH,2022-01-30 22:56:12,20.4335,99.8762,55.89,71,1,2.44,clear sky,0,0
196,Olinda,BR,2022-01-30 22:56:12,-8.0089,-34.8553,83.93,74,75,10.36,broken clouds,0,0
197,Honiara,SB,2022-01-30 22:56:13,-9.4333,159.95,83.75,76,100,3.98,overcast clouds,0,0
198,Elat,IL,2022-01-30 22:56:13,29.5581,34.9482,53.44,47,0,6.91,clear sky,0,0
199,Teya,RU,2022-01-30 22:56:14,60.3778,92.6267,-2.7,99,97,2.59,overcast clouds,0,0
200,Tahoua,NE,2022-01-30 22:56:15,14.8888,5.2692,65.91,13,6,12.46,clear sky,0,0
201,Teguise,ES,2022-01-30 22:56:15,29.0605,-13.564,62.82,45,0,5.75,haze,0,0
202,Nachalovo,RU,2022-01-30 22:56:16,46.338,48.2013,24.73,86,0,0.0,clear sky,0,0
203,Haines Junction,CA,2022-01-30 22:56:17,60.7522,-137.5108,10.35,56,98,8.05,overcast clouds,0,0
204,Arraial Do Cabo,BR,2022-01-30 22:56:17,-22.9661,-42.0278,76.86,88,75,10.36,broken clouds,0,0
205,Itarema,BR,2022-01-30 22:56:18,-2.9248,-39.9167,77.04,83,100,8.86,overcast clouds,0,0
206,Mardin,TR,2022-01-30 22:56:19,37.3131,40.7436,31.71,77,87,4.45,overcast clouds,0,0
207,Santa Marta,CO,2022-01-30 22:56:19,11.2408,-74.199,87.85,62,20,17.27,few clouds,0,0
208,Bauchi,NG,2022-01-30 22:56:20,10.5,10.0,61.81,19,100,6.44,overcast clouds,0,0
209,Naqadeh,IR,2022-01-30 22:56:21,36.9553,45.388,17.6,86,29,6.17,scattered clouds,0,0
210,Chililabombwe,ZM,2022-01-30 22:56:22,-12.3648,27.8229,63.03,99,100,3.49,light rain,0,0
